Code,Borough,population
E09000001,City of London,7400.0
E09000002,Barking and Dagenham,185900.0
E09000003,Barnet,356400.0
E09000004,Bexley,232000.0
E09000005,Brent,311200.0
E09000006,Bromley,309400.0
E09000007,Camden,220300.0
E09000008,Croydon,363400.0
E09000009,Ealing,338400.0
E09000010,Enfield,312500.0
E09000011,Greenwich,254600.0
E09000012,Hackney,246300.0
E09000013,Hammersmith and Fulham,182500.0
E09000014,Haringey,254900.0
E09000015,Harrow,239100.0
E09000016,Havering,237200.0
E09000017,Hillingdon,273900.0
E09000018,Hounslow,254000.0
E09000019,Islington,206100.0
E09000020,Kensington and Chelsea,158700.0
E09000021,Kingston upon Thames,160100.0
E09000022,Lambeth,303100.0
E09000023,Lewisham,275900.0
E09000024,Merton,199700.0
E09000025,Newham,308000.0
E09000026,Redbridge,279000.0
E09000028,Southwark,288300.0
E09000029,Sutton,190100.0
E09000030,Tower Hamlets,254100.0
E09000031,Waltham Forest,258200.0
E09000032,Wandsworth,307000.0
E09000033,Westminster,219400.0
